location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Suburban,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.14,0,19845.38,Applied 1 rule(s): HIGH Demand Surge Pricing,64.96,0,14782.4,No rules applied to this segment,64.96,0,14782.4,No rules applied to this segment
Rural,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,61.77,0,18167.27,Applied 1 rule(s): HIGH Demand Surge Pricing,69.02,0,13532.42,No rules applied to this segment,70.18,0,12658.98,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.15,0,8091.57,Applied 1 rule(s): HIGH Demand Surge Pricing,41.82,0,6445.53,Applied 1 rule(s): Urban Pricing Adjustment,42.63,0,6027.24,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.15,0,9413.21,Applied 1 rule(s): HIGH Demand Surge Pricing,42.63,0,7011.7,No rules applied to this segment,42.63,0,7011.7,No rules applied to this segment
Rural,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,34.52,0,5990.51,Applied 1 rule(s): HIGH Demand Surge Pricing,38.57,0,4462.2,No rules applied to this segment,39.22,0,4174.19,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,3825.01,No rules applied to this segment,38.33,0,4056.69,Applied 1 rule(s): Urban Pricing Adjustment,39.39,0,3825.01,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.37,0,3268.21,No rules applied to this segment,37.37,0,3268.21,No rules applied to this segment,37.37,0,3268.21,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.43,0,6113.67,No rules applied to this segment,43.43,0,6113.67,No rules applied to this segment,44.47,0,5759.56,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,63.63,0,14106.2,No rules applied to this segment,61.91,0,14960.62,Applied 1 rule(s): Urban Pricing Adjustment,63.63,0,14106.2,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,65.65,0,13460.16,No rules applied to this segment,65.65,0,13460.16,No rules applied to this segment,65.65,0,13460.16,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,7412.98,No rules applied to this segment,49.49,0,7412.98,No rules applied to this segment,50.68,0,6983.62,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.41,0,8165.1,No rules applied to this segment,40.29,0,8659.66,Applied 1 rule(s): Urban Pricing Adjustment,41.41,0,8165.1,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,6268.56,No rules applied to this segment,39.39,0,6268.56,No rules applied to this segment,39.39,0,6268.56,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.37,0,4659.98,No rules applied to this segment,37.37,0,4659.98,No rules applied to this segment,38.27,0,4390.07,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,33.16,0,2469.43,No rules applied to this segment,32.0,0,2597.2,Applied 1 rule(s): Urban Pricing Adjustment,33.16,0,2469.43,No rules applied to this segment
Suburban,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,4291.19,No rules applied to this segment,41.2,0,4291.19,No rules applied to this segment,41.2,0,4291.19,No rules applied to this segment
Rural,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,4320.73,No rules applied to this segment,39.19,0,4320.73,No rules applied to this segment,40.41,0,4099.1,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,5392.48,No rules applied to this segment,47.51,0,5671.5,Applied 1 rule(s): Urban Pricing Adjustment,49.24,0,5392.48,No rules applied to this segment
Suburban,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,4906.32,No rules applied to this segment,39.19,0,4906.32,No rules applied to this segment,39.19,0,4906.32,No rules applied to this segment
