location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Rural,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,18.18,0,7739.55,No rules applied to this segment,18.18,0,7739.55,No rules applied to this segment,18.53,0,7257.1,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,30.3,0,12601.17,No rules applied to this segment,29.65,0,13438.6,Applied 1 rule(s): Urban Pricing Adjustment,30.3,0,12601.17,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,10.1,0,4862.21,No rules applied to this segment,10.1,0,4862.21,No rules applied to this segment,10.1,0,4862.21,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,34.34,0,14527.69,No rules applied to this segment,34.34,0,14527.69,No rules applied to this segment,35.0,0,13622.09,Applied 1 rule(s): Rural Pricing Adjustment
Suburban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,15.15,0,2209.57,No rules applied to this segment,15.15,0,2209.57,No rules applied to this segment,15.15,0,2209.57,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,18.18,0,2492.41,No rules applied to this segment,18.18,0,2492.41,No rules applied to this segment,18.53,0,2337.04,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,6.03,0,3184.6,No rules applied to this segment,5.86,0,3373.74,Applied 1 rule(s): Urban Pricing Adjustment,6.03,0,3184.6,No rules applied to this segment
Suburban,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,4.02,0,1595.87,No rules applied to this segment,4.02,0,1595.87,No rules applied to this segment,4.02,0,1595.87,No rules applied to this segment
Rural,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,10.05,0,5062.13,No rules applied to this segment,10.05,0,5062.13,No rules applied to this segment,10.3,0,4773.4,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,10.05,0,4993.47,No rules applied to this segment,9.77,0,5290.05,Applied 1 rule(s): Urban Pricing Adjustment,10.05,0,4993.47,No rules applied to this segment
Suburban,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,16.08,0,5155.17,No rules applied to this segment,16.08,0,5155.17,No rules applied to this segment,16.08,0,5155.17,No rules applied to this segment
Rural,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,12.06,0,3175.29,No rules applied to this segment,12.06,0,3175.29,No rules applied to this segment,12.36,0,2994.18,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,4.02,0,380.23,No rules applied to this segment,3.91,0,402.81,Applied 1 rule(s): Urban Pricing Adjustment,4.02,0,380.23,No rules applied to this segment
Suburban,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,16.08,0,2051.08,No rules applied to this segment,16.08,0,2051.08,No rules applied to this segment,16.08,0,2051.08,No rules applied to this segment
Rural,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,15.07,0,2047.62,No rules applied to this segment,15.07,0,2047.62,No rules applied to this segment,15.45,0,1930.83,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,7.27,0,2968.98,Applied 1 rule(s): HIGH Demand Surge Pricing,7.97,0,2365.01,Applied 1 rule(s): Urban Pricing Adjustment,8.12,0,2211.53,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,5.45,0,2777.51,Applied 1 rule(s): HIGH Demand Surge Pricing,6.09,0,2068.91,No rules applied to this segment,6.09,0,2068.91,No rules applied to this segment
Rural,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,10.9,0,4122.07,Applied 1 rule(s): HIGH Demand Surge Pricing,12.18,0,3070.45,No rules applied to this segment,12.38,0,2872.27,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,21.8,0,9605.19,Applied 1 rule(s): HIGH Demand Surge Pricing,23.9,0,7651.23,Applied 1 rule(s): Urban Pricing Adjustment,24.36,0,7154.7,No rules applied to this segment
Suburban,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,27.25,0,16566.26,Applied 1 rule(s): HIGH Demand Surge Pricing,30.45,0,12339.86,No rules applied to this segment,30.45,0,12339.86,No rules applied to this segment
Rural,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,30.89,0,14904.99,Applied 1 rule(s): HIGH Demand Surge Pricing,34.51,0,11102.41,No rules applied to this segment,35.09,0,10385.82,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,7.27,0,4257.95,Applied 1 rule(s): HIGH Demand Surge Pricing,7.97,0,3391.77,Applied 1 rule(s): Urban Pricing Adjustment,8.12,0,3171.66,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,7.27,0,5585.9,Applied 1 rule(s): HIGH Demand Surge Pricing,8.12,0,4160.82,No rules applied to this segment,8.12,0,4160.82,No rules applied to this segment
Rural,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,3.63,0,1897.01,Applied 1 rule(s): HIGH Demand Surge Pricing,4.06,0,1413.05,No rules applied to this segment,4.13,0,1321.84,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,6.06,0,1621.02,No rules applied to this segment,5.9,0,1719.2,Applied 1 rule(s): Urban Pricing Adjustment,6.06,0,1621.02,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,4.04,0,969.36,No rules applied to this segment,4.04,0,969.36,No rules applied to this segment,4.04,0,969.36,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,10.1,0,4014.21,No rules applied to this segment,10.1,0,4014.21,No rules applied to this segment,10.34,0,3781.71,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,30.3,0,11713.08,No rules applied to this segment,29.48,0,12422.54,Applied 1 rule(s): Urban Pricing Adjustment,30.3,0,11713.08,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,32.32,0,11132.67,No rules applied to this segment,32.32,0,11132.67,No rules applied to this segment,32.32,0,11132.67,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,16.16,0,5055.02,No rules applied to this segment,16.16,0,5055.02,No rules applied to this segment,16.55,0,4762.23,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,8.08,0,5454.35,No rules applied to this segment,7.86,0,5784.72,Applied 1 rule(s): Urban Pricing Adjustment,8.08,0,5454.35,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,6.06,0,3524.57,No rules applied to this segment,6.06,0,3524.57,No rules applied to this segment,6.06,0,3524.57,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,4.04,0,1992.34,No rules applied to this segment,4.04,0,1992.34,No rules applied to this segment,4.14,0,1876.95,Applied 1 rule(s): Rural Pricing Adjustment
Suburban,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,8.04,0,2011.56,No rules applied to this segment,8.04,0,2011.56,No rules applied to this segment,8.04,0,2011.56,No rules applied to this segment
Rural,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,6.03,0,1922.09,No rules applied to this segment,6.03,0,1922.09,No rules applied to this segment,6.22,0,1823.49,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,16.08,0,3305.67,No rules applied to this segment,15.52,0,3476.71,Applied 1 rule(s): Urban Pricing Adjustment,16.08,0,3305.67,No rules applied to this segment
Suburban,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,6.03,0,2662.81,No rules applied to this segment,6.03,0,2662.81,No rules applied to this segment,6.03,0,2662.81,No rules applied to this segment
Rural,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,8.04,0,2383.63,No rules applied to this segment,8.04,0,2383.63,No rules applied to this segment,8.29,0,2261.36,Applied 1 rule(s): Rural Pricing Adjustment
Urban,Gold,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,4.02,0,1215.96,No rules applied to this segment,3.88,0,1278.87,Applied 1 rule(s): Urban Pricing Adjustment,4.02,0,1215.96,No rules applied to this segment
Rural,Gold,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,6.03,0,1810.21,No rules applied to this segment,6.03,0,1810.21,No rules applied to this segment,6.22,0,1717.36,Applied 1 rule(s): Rural Pricing Adjustment
